timestamp,cycle,temp_c
2025-08-01T01:20:11.045719,1,17.8
2025-08-01T01:21:04.688316,2,17.5
2025-08-01T01:21:58.338696,3,17.8
2025-08-01T01:22:51.804176,4,17.5
2025-08-01T01:23:45.761669,5,17.8
2025-08-01T01:24:39.457692,6,17.5
2025-08-01T01:25:33.136948,7,17.8
2025-08-01T01:26:26.754691,8,17.5
2025-08-01T01:27:20.261510,9,17.8
2025-08-01T01:28:13.825939,10,18.3
2025-08-01T01:29:07.475841,11,17.8
2025-08-01T01:30:01.245809,12,18.5
2025-08-01T01:30:55.318008,13,18.3
2025-08-01T01:31:48.886412,14,18.3
2025-08-01T01:32:42.221038,15,18.3
2025-08-01T01:33:36.052196,16,18.0
2025-08-01T01:34:29.537626,17,18.0
2025-08-01T01:35:23.045160,18,17.8
2025-08-01T01:36:16.806364,19,18.3
2025-08-01T01:37:10.403036,20,18.3
2025-08-01T01:38:03.979934,21,18.0
2025-08-01T01:38:57.548749,22,17.8
2025-08-01T01:39:51.240919,23,18.0
2025-08-01T01:40:44.973102,24,18.3
2025-08-01T01:41:38.567515,25,18.0
2025-08-01T01:42:32.218316,26,18.0
2025-08-01T01:43:25.991719,27,17.8
2025-08-01T01:44:19.569076,28,18.3
2025-08-01T01:45:13.076064,29,18.0
2025-08-01T01:46:06.702531,30,18.3
2025-08-01T01:47:00.385556,31,17.8
2025-08-01T01:47:53.953995,32,18.0
2025-08-01T01:48:47.429408,33,17.8
2025-08-01T01:49:41.386507,34,18.0
2025-08-01T01:50:34.885764,35,18.0
2025-08-01T01:51:28.540356,36,18.0
2025-08-01T01:52:22.191476,37,17.8
2025-08-01T01:53:15.878236,38,17.8
2025-08-01T01:54:09.426326,39,18.3
2025-08-01T01:55:02.991551,40,18.3
2025-08-01T01:55:56.592567,41,18.0
2025-08-01T01:56:50.591098,42,18.3
2025-08-01T01:57:44.229378,43,18.0
2025-08-01T01:58:38.002991,44,18.0
2025-08-01T01:59:31.644985,45,18.0
2025-08-01T02:00:25.160102,46,18.0
2025-08-01T02:01:18.982246,47,18.0
