Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.16,10.61,53.3,108.48,532.9,535.6,84.3
45001500,-0.16,10.61,52.8,109.55,533.1,535.7,84.3
45003000,-0.16,10.63,52.3,110.45,532.3,534.9,84.4
45004500,-0.16,10.60,52.4,110.81,534.1,536.7,84.4
45006000,-0.15,10.65,50.9,113.15,531.8,534.2,84.5
45007500,-0.16,10.60,51.8,112.04,533.9,536.4,84.5
45009000,-0.15,10.55,50.8,115.43,536.7,539.1,84.6
45010500,-0.15,10.58,51.9,112.48,535.3,537.8,84.5
45012000,-0.16,10.59,52.1,111.72,534.7,537.2,84.4
45013500,-0.15,10.59,51.0,113.94,534.4,536.9,84.5
45015000,-0.15,10.59,51.8,112.38,534.6,537.1,84.5
45016500,-0.16,10.57,52.8,110.51,535.5,538.1,84.4
45018000,-0.16,10.58,52.8,110.36,534.8,537.4,84.4
45019500,-0.15,10.55,51.3,114.28,536.8,539.3,84.5
45021000,-0.16,10.57,52.4,111.41,535.2,537.8,84.4
45022500,-0.16,10.54,53.1,110.45,536.7,539.3,84.3
45024000,-0.16,10.57,53.7,108.73,535.3,538.0,84.3
45025500,-0.16,10.54,53.3,110.10,536.7,539.4,84.3
45027000,-0.16,10.53,52.6,111.89,537.7,540.3,84.4
45028500,-0.15,10.54,50.9,115.38,537.1,539.5,84.6
45030000,-0.15,10.55,51.4,114.10,536.9,539.3,84.5
45031500,-0.15,10.51,50.4,117.30,538.8,541.2,84.7
45033000,-0.15,10.51,51.9,113.72,538.6,541.1,84.5
45034500,-0.15,10.48,50.4,117.92,540.4,542.8,84.7
45036000,-0.15,10.52,52.5,112.33,538.2,540.8,84.4
45037500,-0.15,10.51,51.5,114.61,538.8,541.2,84.5
45039000,-0.15,10.47,52.1,114.22,540.6,543.1,84.5
45040500,-0.15,10.50,52.4,113.05,539.3,541.8,84.5
45042000,-0.15,10.51,50.1,117.95,538.8,541.2,84.7
45043500,-0.15,10.52,50.6,116.51,538.2,540.5,84.6
45045000,-0.14,10.44,49.7,120.70,543.0,545.2,84.8
45046500,-0.16,10.51,54.0,109.27,538.2,540.9,84.3
45048000,-0.15,10.46,50.7,117.64,541.5,543.9,84.6
45049500,-0.15,10.49,52.6,112.67,539.7,542.3,84.4
45051000,-0.16,10.46,53.6,111.29,541.1,543.8,84.3
45052500,-0.15,10.48,52.4,113.42,540.2,542.8,84.5
45054000,-0.15,10.45,53.3,112.12,541.5,544.2,84.4
45055500,-0.15,10.43,50.5,118.77,543.2,545.6,84.7
45057000,-0.15,10.45,52.4,114.14,542.0,544.5,84.5
45058500,-0.15,10.42,51.0,117.71,543.4,545.8,84.6
45060000,-0.15,10.43,51.7,116.00,542.8,545.2,84.6
45061500,-0.15,10.45,52.8,113.28,541.8,544.4,84.4
45063000,-0.15,10.41,52.3,115.04,543.7,546.3,84.5
45064500,-0.15,10.46,52.4,113.92,541.4,543.9,84.5
45066000,-0.15,10.43,52.7,113.86,542.9,545.4,84.5
45067500,-0.15,10.47,51.5,115.62,540.9,543.4,84.6
45069000,-0.15,10.40,52.9,114.03,544.4,547.0,84.4
45070500,-0.15,10.43,50.5,118.85,543.2,545.5,84.7
45072000,-0.15,10.43,51.1,117.32,542.9,545.3,84.6
45073500,-0.15,10.43,50.1,119.78,543.1,545.4,84.7
45075000,-0.15,10.41,53.4,112.65,543.7,546.3,84.4
45076500,-0.15,10.40,51.2,118.07,544.9,547.3,84.6
45078000,-0.15,10.35,52.0,117.24,547.2,549.7,84.6
45079500,-0.15,10.39,52.6,114.85,544.8,547.3,84.5
45081000,-0.15,10.36,51.9,117.14,546.6,549.1,84.6
45082500,-0.15,10.44,51.1,117.14,542.4,544.8,84.6
45084000,-0.15,10.32,51.7,118.44,548.7,551.1,84.6
45085500,-0.15,10.35,54.3,112.09,546.6,549.3,84.3
45087000,-0.15,10.34,51.9,117.70,548.0,550.4,84.6
45088500,-0.15,10.38,52.1,116.32,545.7,548.2,84.5
45090000,-0.15,10.37,52.8,115.01,546.2,548.7,84.5
45091500,-0.15,10.36,52.0,116.86,546.7,549.2,84.6
45093000,-0.15,10.32,51.3,119.61,549.1,551.5,84.7
45094500,-0.15,10.37,51.1,118.90,546.4,548.8,84.7
45096000,-0.15,10.32,53.2,115.19,548.8,551.4,84.5
45097500,-0.15,10.32,52.2,117.38,549.0,551.4,84.6
45099000,-0.15,10.36,51.7,117.46,546.6,549.0,84.6
45100500,-0.14,10.31,51.2,120.11,549.8,552.2,84.7
45102000,-0.14,10.32,50.8,120.60,549.0,551.4,84.7
45103500,-0.14,10.31,50.8,121.06,549.7,552.0,84.7
45105000,-0.15,10.34,51.1,119.58,548.1,550.5,84.7
45106500,-0.14,10.29,51.4,120.02,550.7,553.1,84.7
45108000,-0.15,10.27,51.7,119.66,551.7,554.1,84.6
45109500,-0.14,10.33,50.2,122.12,548.9,551.1,84.8
45111000,-0.14,10.29,51.3,120.03,550.4,552.8,84.7
45112500,-0.15,10.27,52.8,117.34,551.6,554.1,84.5
45114000,-0.15,10.29,52.5,117.38,550.6,553.1,84.5
45115500,-0.14,10.27,51.4,120.37,551.7,554.1,84.7
45117000,-0.15,10.22,52.4,119.14,554.2,556.7,84.6
