Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.17,10.82,54.3,102.49,522.3,525.2,84.1
45001500,-0.17,10.79,54.7,102.26,523.8,526.7,84.0
45003000,-0.17,10.80,53.8,103.93,523.4,526.2,84.1
45004500,-0.17,10.79,55.8,100.30,523.7,526.6,83.9
45006000,-0.17,10.79,53.5,104.81,524.2,526.9,84.2
45007500,-0.17,10.75,53.8,104.90,525.9,528.6,84.2
45009000,-0.17,10.81,55.8,99.88,522.7,525.7,83.9
45010500,-0.17,10.73,55.3,102.29,526.6,529.5,84.0
45012000,-0.17,10.75,55.8,100.94,525.4,528.4,83.9
45013500,-0.17,10.73,54.2,104.37,526.8,529.6,84.1
45015000,-0.18,10.76,57.5,97.70,524.6,527.8,83.7
45016500,-0.17,10.73,55.8,101.44,526.5,529.4,84.0
45018000,-0.17,10.73,53.9,104.92,526.7,529.5,84.2
45019500,-0.16,10.73,53.0,106.79,527.0,529.7,84.3
45021000,-0.17,10.78,55.5,100.98,524.3,527.2,84.0
45022500,-0.17,10.73,56.4,100.28,526.3,529.3,83.9
45024000,-0.17,10.69,54.8,104.02,528.7,531.5,84.1
45025500,-0.16,10.74,52.2,108.30,526.9,529.5,84.3
45027000,-0.17,10.71,55.3,102.74,527.6,530.5,84.0
45028500,-0.17,10.70,56.6,100.33,527.7,530.7,83.9
45030000,-0.16,10.72,53.6,105.80,527.7,530.4,84.2
45031500,-0.16,10.70,53.7,105.98,528.4,531.1,84.2
45033000,-0.17,10.71,53.9,105.25,527.8,530.5,84.2
45034500,-0.17,10.70,55.2,103.21,528.4,531.3,84.0
45036000,-0.17,10.69,54.5,104.69,529.0,531.8,84.1
45037500,-0.17,10.67,54.6,104.87,529.7,532.5,84.1
45039000,-0.16,10.66,53.7,106.74,530.5,533.2,84.2
45040500,-0.17,10.65,57.0,100.67,530.1,533.2,83.9
45042000,-0.17,10.63,55.0,104.95,532.0,534.8,84.1
45043500,-0.17,10.69,55.1,103.57,528.9,531.8,84.1
45045000,-0.17,10.68,55.1,103.60,529.2,532.0,84.1
45046500,-0.17,10.64,55.8,103.17,531.2,534.1,84.0
45048000,-0.16,10.65,53.7,107.05,531.0,533.8,84.2
45049500,-0.17,10.66,55.8,102.74,530.1,533.0,84.0
45051000,-0.17,10.65,55.7,103.26,530.9,533.8,84.0
45052500,-0.17,10.66,55.6,103.17,530.4,533.3,84.0
45054000,-0.17,10.59,55.3,105.13,533.8,536.6,84.1
45055500,-0.17,10.64,54.9,104.75,531.2,534.1,84.1
45057000,-0.16,10.64,52.7,109.26,531.9,534.5,84.3
45058500,-0.16,10.63,53.7,107.43,532.1,534.8,84.2
45060000,-0.16,10.60,54.8,106.00,533.6,536.4,84.1
45061500,-0.17,10.58,57.5,101.09,533.6,536.7,83.9
45063000,-0.17,10.58,56.8,102.42,533.9,537.0,83.9
45064500,-0.17,10.58,55.4,105.13,534.3,537.2,84.1
45066000,-0.16,10.63,54.3,106.07,531.8,534.5,84.2
45067500,-0.16,10.59,54.1,107.35,533.8,536.5,84.2
45069000,-0.16,10.59,54.4,106.87,533.9,536.7,84.2
45070500,-0.16,10.62,54.4,106.31,532.5,535.2,84.2
45072000,-0.16,10.57,54.6,106.83,535.1,537.9,84.2
45073500,-0.16,10.59,54.1,107.51,534.0,536.7,84.2
45075000,-0.17,10.59,56.1,103.49,533.7,536.7,84.0
45076500,-0.17,10.55,56.5,103.63,535.8,538.8,84.0
45078000,-0.16,10.59,54.1,107.34,533.9,536.6,84.2
45079500,-0.17,10.57,56.7,102.85,534.7,537.6,83.9
45081000,-0.16,10.55,54.6,107.21,535.8,538.6,84.2
45082500,-0.15,10.52,51.6,114.19,538.2,540.7,84.5
