Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
45000000,-0.41,12.96,88.2,42.67,421.9,431.0,78.2
45001500,-0.40,12.96,87.1,43.28,422.5,431.4,78.4
45003000,-0.41,12.92,88.4,42.88,423.5,432.6,78.2
45004500,-0.41,12.91,88.8,42.68,423.4,432.6,78.2
45006000,-0.40,12.94,87.2,43.35,423.0,431.9,78.4
45007500,-0.40,12.94,87.0,43.44,423.2,432.0,78.4
45009000,-0.40,12.94,87.6,43.18,423.1,432.1,78.3
45010500,-0.40,12.94,87.7,43.04,422.8,431.8,78.3
45012000,-0.40,12.90,88.3,43.05,424.0,433.1,78.2
45013500,-0.40,12.93,88.0,43.05,423.3,432.4,78.3
45015000,-0.40,12.91,87.9,43.17,423.8,432.8,78.3
45016500,-0.40,12.90,88.5,42.94,424.1,433.3,78.2
45018000,-0.40,12.90,88.0,43.19,424.2,433.2,78.3
45019500,-0.40,12.87,88.5,43.15,425.2,434.3,78.2
45021000,-0.41,12.86,89.2,42.87,425.2,434.4,78.2
45022500,-0.41,12.89,88.8,42.88,424.4,433.5,78.2
45024000,-0.40,12.86,88.7,43.15,425.5,434.6,78.2
45025500,-0.40,12.87,88.7,43.06,425.1,434.3,78.2
45027000,-0.40,12.85,88.1,43.47,425.8,434.9,78.3
45028500,-0.40,12.84,89.3,42.91,425.7,435.0,78.2
45030000,-0.40,12.87,88.5,43.19,425.2,434.3,78.2
45031500,-0.40,12.86,88.8,43.07,425.3,434.5,78.2
45033000,-0.40,12.87,88.5,43.13,425.0,434.1,78.2
45034500,-0.40,12.82,89.3,43.04,426.4,435.7,78.2
45036000,-0.41,12.88,89.2,42.71,424.6,433.8,78.1
45037500,-0.41,12.83,89.6,42.83,426.0,435.4,78.1
45039000,-0.41,12.82,89.9,42.77,426.4,435.8,78.1
45040500,-0.41,12.83,89.9,42.70,426.0,435.4,78.1
45042000,-0.40,12.86,88.8,43.05,425.3,434.5,78.2
45043500,-0.40,12.81,88.6,43.51,427.1,436.2,78.3
45045000,-0.40,12.82,88.5,43.48,426.9,436.0,78.3
45046500,-0.40,12.82,88.8,43.38,426.9,436.1,78.3
45048000,-0.40,12.80,88.3,43.73,427.7,436.7,78.3
45049500,-0.40,12.79,88.8,43.60,428.0,437.1,78.3
45051000,-0.41,12.84,90.2,42.48,425.6,435.0,78.0
45052500,-0.40,12.79,89.8,43.01,427.5,436.8,78.1
45054000,-0.40,12.75,90.5,42.96,428.7,438.2,78.1
45055500,-0.41,12.79,90.7,42.54,427.0,436.5,78.0
45057000,-0.40,12.81,89.1,43.27,427.2,436.4,78.2
45058500,-0.40,12.78,89.1,43.47,428.0,437.2,78.2
45060000,-0.40,12.78,89.5,43.29,428.1,437.3,78.2
45061500,-0.40,12.77,90.3,42.91,428.0,437.4,78.1
45063000,-0.40,12.76,89.2,43.57,428.9,438.0,78.3
45064500,-0.40,12.76,89.6,43.36,428.7,437.9,78.2
